src_ip,packet_count,avg_packet_size,max_packet_size,protocol_count
104.16.41.28,13,548.8461538461538,1506,1
104.18.10.207,73,1073.9041095890411,1242,1
104.18.33.206,1572,1106.554707379135,1506,2
104.18.36.169,15,404.1333333333333,1242,1
104.18.5.235,51,1291.2745098039215,1506,1
104.20.44.54,47,258.7659574468085,1506,1
107.167.96.38,9,553.3333333333334,1494,1
108.139.60.124,15,488.93333333333334,1494,1
13.71.55.58,11,482.09090909090907,1506,1
134.33.4.19,164,1257.3475609756097,1506,1
142.250.110.155,7,1001.4285714285714,1466,1
142.250.187.35,12,764.8333333333334,1292,1
142.250.187.36,983,792.4598168870804,1466,2
142.250.187.42,80,671.125,1292,1
142.250.187.66,25,712.64,1466,2
142.250.187.67,11,829.0,1292,1
142.250.187.86,769,1232.9687906371912,1466,2
142.250.200.163,57,714.6491228070175,1292,1
142.250.200.166,61,624.2786885245902,1466,2
142.250.200.170,104,712.9038461538462,1466,2
142.250.200.174,27,501.6666666666667,1292,1
142.250.201.106,37,1091.4054054054054,1466,1
142.250.201.227,26,655.5384615384615,1466,2
142.250.201.238,140,749.4571428571429,1466,2
142.250.201.98,24,690.6666666666666,1466,2
142.250.202.1,27,631.3333333333334,1466,1
142.250.202.102,27,497.51851851851853,1292,1
142.250.202.136,645,1305.5348837209303,1466,2
142.250.202.138,36,573.8611111111111,1466,2
142.250.202.14,538,945.8568773234201,1466,2
142.250.202.142,781,808.7989756722151,1292,1
142.250.202.4,30,563.0,1466,2
142.250.202.74,64,678.203125,1466,2
142.250.202.78,10,751.7,1466,1
142.250.203.14,73,613.5479452054794,1466,2
142.250.203.162,37,558.6756756756756,1466,2
142.250.203.163,353,1267.6090651558075,1466,2
142.250.203.174,48,496.6875,1292,1
142.250.203.2,19,652.3684210526316,1292,1
142.250.27.84,18,472.1666666666667,1292,1
142.251.153.119,4,80.25,112,1
142.251.29.94,66,409.3484848484849,1292,1
142.251.37.129,114,848.4473684210526,1466,2
142.251.37.130,30,612.9,1466,2
142.251.37.142,57,840.9298245614035,1466,2
142.251.37.67,18,819.2222222222222,1292,1
142.251.5.188,7,66.0,66,1
146.112.41.2,689,340.2757619738752,1506,1
150.171.22.12,432,966.3518518518518,1506,2
150.171.28.10,34,542.2352941176471,1506,1
151.101.130.132,16,465.5625,1442,1
151.253.247.151,9183,1282.3739518675814,1292,1
151.253.247.214,9,801.4444444444445,1292,1
157.240.13.35,23,308.0869565217391,1274,1
172.64.148.235,53,79.33962264150944,208,1
172.64.151.4,69,102.33333333333333,221,1
172.64.154.50,13,630.0,1242,1
172.64.155.209,282,254.69148936170214,1506,1
185.53.56.90,28,651.5714285714286,1506,1
192.168.1.1,105,424.76190476190476,481,2
192.168.1.133,20,479.35,550,1
192.168.1.172,8,121.0,179,1
192.168.1.199,23,119.47826086956522,135,1
192.168.1.217,13504,258.607893957346,1506,3
192.168.1.221,2,152.0,208,1
192.168.1.235,7,126.28571428571429,133,1
2.16.44.32,24,1057.2083333333333,1506,1
2.16.44.43,1989,1498.871794871795,1506,1
2.20.249.178,13,428.0769230769231,1506,1
2.20.249.83,119,1328.5210084033613,1506,1
2.21.231.232,679,1315.8556701030927,1506,1
20.190.177.85,16,1004.3125,1506,1
20.42.65.91,14,618.5714285714286,1506,1
20.54.232.160,628,786.6751592356688,1506,1
20.72.205.209,203,1479.7093596059112,1506,1
208.67.220.220,7,186.71428571428572,257,1
208.67.222.222,51,138.90196078431373,303,1
216.239.34.157,301,946.2823920265781,1466,1
23.15.100.3,60,1311.4833333333333,1506,1
23.50.84.4,640,1402.296875,1506,2
3.160.77.52,29,373.13793103448273,1494,1
3.29.96.111,13,600.6923076923077,1506,1
34.107.218.251,102,1082.813725490196,1466,2
34.8.7.18,74,395.7972972972973,1292,2
4.213.25.242,2,60.0,66,1
40.99.32.114,1,54.0,54,1
52.111.252.11,3,58.0,66,1
52.123.128.14,21,712.0952380952381,1506,1
52.168.112.66,17,465.29411764705884,1506,1
52.182.143.213,12,448.3333333333333,1506,1
52.211.113.187,17,729.7058823529412,1506,1
54.76.45.183,20,635.1,1506,1
63.140.62.236,16,572.25,1506,1
74.125.173.38,22,226.95454545454547,1292,2
74.248.74.117,7,93.0,93,1
92.123.159.177,62,274.8225806451613,1506,1
98.98.242.142,139,1285.5035971223022,1506,1
